ID,CATEGORY_A,CATEGORY_B,NUMERIC_1,NUMERIC_2,NUMERIC_3,LABEL
700,alpha,high,52.45,73.14,77,1
701,beta,high,67.42,3.46,326,1
702,alpha,medium,38.08,61.57,258,1
703,alpha,low,75.7,90.54,43,1
704,alpha,medium,74.42,13.58,299,0
705,alpha,high,47.79,16.0,397,1
706,beta,high,68.15,43.08,259,1
707,alpha,medium,56.1,42.67,460,1
708,alpha,low,57.2,74.51,79,1
709,alpha,high,43.8,70.93,241,0
710,alpha,low,40.35,9.14,264,0
711,alpha,medium,50.0,93.21,106,0
712,beta,medium,82.22,48.26,180,0
713,beta,medium,48.73,99.99,432,1
714,alpha,medium,60.47,28.23,337,1
715,alpha,high,48.81,22.3,470,1
716,alpha,high,47.65,8.35,306,1
717,alpha,high,68.55,48.02,140,1
718,beta,low,46.97,42.86,446,1
719,beta,medium,35.64,67.1,487,1
720,beta,medium,29.61,11.97,364,1
721,alpha,low,47.76,40.92,72,1
722,alpha,low,59.59,12.03,246,0
723,alpha,high,42.37,45.13,209,1
724,alpha,medium,35.71,75.33,376,0
725,alpha,high,42.46,81.92,406,1
726,alpha,low,59.25,8.4,340,1
727,alpha,high,42.76,47.36,371,1
728,alpha,high,34.32,8.33,9,1
729,beta,medium,34.46,37.31,388,1
730,beta,medium,39.16,9.49,485,0
731,alpha,medium,53.13,16.94,109,0
732,alpha,medium,39.99,39.25,126,0
733,beta,medium,66.04,44.59,193,1
734,alpha,medium,47.62,83.06,415,1
735,alpha,medium,86.39,71.43,178,0
736,beta,medium,48.75,71.03,344,0
737,alpha,medium,53.55,38.17,34,0
738,beta,low,54.98,7.84,447,1
739,beta,low,58.83,46.01,128,0
740,beta,medium,27.47,16.17,168,0
741,beta,low,54.74,61.63,256,1
742,alpha,low,65.02,30.02,397,1
743,alpha,medium,51.71,37.26,268,0
744,alpha,low,52.73,21.65,216,1
745,alpha,low,46.98,39.53,79,0
746,alpha,low,45.09,79.93,347,1
747,alpha,low,45.02,54.34,388,1
748,beta,medium,62.04,34.7,240,0
749,beta,high,54.46,42.59,322,1
750,alpha,high,51.77,92.22,23,1
751,beta,medium,57.51,24.59,354,1
752,alpha,low,50.61,2.55,220,1
753,alpha,low,52.67,24.86,270,0
754,beta,high,29.56,83.19,414,0
755,alpha,medium,73.98,60.4,51,1
756,alpha,low,40.05,4.19,99,0
757,alpha,low,35.18,8.91,124,0
758,beta,high,37.91,72.92,86,1
759,beta,high,40.46,69.21,355,1
760,beta,high,36.43,65.55,278,0
761,alpha,low,56.55,95.12,263,0
762,beta,medium,57.95,44.21,276,1
763,alpha,high,27.85,77.17,242,0
764,alpha,low,41.47,49.33,189,1
765,alpha,low,66.6,39.67,185,1
766,beta,high,85.52,37.08,172,1
767,beta,high,47.95,35.06,130,1
768,beta,medium,45.42,4.14,230,1
769,beta,medium,54.17,40.85,312,1
770,alpha,low,36.21,2.02,212,1
771,alpha,low,64.08,71.34,345,1
772,alpha,low,59.39,14.32,324,0
773,alpha,high,60.33,99.59,323,0
774,alpha,medium,59.39,99.4,302,1
775,beta,medium,54.39,21.38,417,0
776,alpha,medium,41.21,49.19,456,0
777,beta,low,42.14,54.0,186,0
778,beta,high,53.05,83.07,25,1
779,alpha,medium,53.14,68.87,146,1
780,beta,low,30.13,48.77,32,1
781,alpha,high,37.88,71.67,51,1
782,alpha,low,40.45,64.21,299,1
783,beta,low,65.52,52.07,307,1
784,alpha,high,49.39,34.25,308,0
785,alpha,medium,32.61,25.91,496,1
786,alpha,medium,56.9,90.51,440,0
787,alpha,high,55.92,12.7,291,0
788,beta,high,46.25,21.69,197,1
789,beta,high,46.86,67.09,162,1
790,alpha,high,35.86,64.84,414,1
791,beta,low,32.34,62.68,415,1
792,alpha,medium,49.64,80.92,311,0
793,beta,high,41.27,13.97,274,0
794,beta,high,56.2,92.07,108,0
795,alpha,medium,64.9,33.63,345,1
796,beta,medium,72.98,39.0,289,1
797,beta,high,49.83,19.12,473,1
798,beta,medium,49.62,18.88,346,1
799,beta,medium,43.1,25.06,213,1
800,beta,low,75.46,78.81,318,0
801,alpha,low,69.17,91.74,254,1
802,alpha,low,54.12,70.41,481,1
803,alpha,low,63.98,40.43,289,1
804,alpha,medium,42.83,60.8,436,0
805,beta,low,26.39,8.0,375,0
806,alpha,medium,42.9,96.95,136,1
807,beta,medium,50.96,57.86,330,0
808,beta,low,58.67,57.46,235,1
809,alpha,high,60.02,6.26,34,1
810,beta,high,64.99,12.44,337,1
811,alpha,medium,52.74,42.56,281,1
812,beta,medium,46.98,47.96,307,1
813,beta,high,60.74,42.93,491,1
814,beta,high,92.65,19.84,449,1
815,beta,medium,56.01,20.37,493,1
816,beta,low,75.26,57.8,259,1
817,beta,low,51.23,26.87,12,1
818,beta,low,59.16,48.91,464,1
819,alpha,high,46.23,96.69,57,0
820,beta,low,65.6,26.89,215,1
821,beta,medium,55.46,46.08,263,0
822,beta,high,38.09,54.19,435,0
823,beta,low,70.69,65.97,318,1
824,beta,high,44.86,24.06,110,0
825,beta,low,21.76,26.85,305,0
826,alpha,medium,53.21,19.59,438,1
827,alpha,medium,45.83,53.74,365,1
828,beta,high,66.5,16.06,114,1
829,alpha,high,55.19,12.6,218,1
830,beta,medium,31.19,64.35,311,1
831,beta,high,59.07,56.7,105,1
832,alpha,medium,49.83,5.79,119,0
833,alpha,medium,26.65,81.6,365,0
834,beta,high,38.85,52.21,373,1
835,beta,high,61.51,45.4,454,1
836,alpha,high,28.97,72.17,145,1
837,alpha,low,29.62,43.85,255,1
838,alpha,medium,98.85,54.36,230,0
839,alpha,high,65.7,87.19,204,1
840,beta,low,31.87,96.57,349,1
841,beta,high,43.03,91.66,495,1
842,alpha,medium,48.37,91.47,192,1
843,beta,low,23.19,7.7,216,1
844,beta,high,54.37,9.5,367,1
845,alpha,medium,28.23,92.62,303,0
846,alpha,medium,52.91,79.53,449,1
847,beta,high,50.07,29.49,197,0
848,beta,medium,22.66,50.46,151,0
849,beta,high,33.75,92.31,9,0
850,alpha,medium,71.51,57.43,189,0
851,alpha,medium,9.62,80.77,331,0
852,alpha,high,62.35,5.45,116,0
853,alpha,medium,53.55,44.35,489,0
854,alpha,high,36.64,80.09,115,1
855,beta,low,37.25,43.96,337,1
856,alpha,low,45.25,22.03,489,0
857,alpha,low,41.77,67.65,414,0
858,beta,medium,63.2,40.86,291,1
859,beta,medium,42.14,34.49,243,0
860,alpha,medium,78.0,95.42,190,1
861,alpha,high,49.1,28.6,20,1
862,alpha,low,67.36,84.68,281,1
863,alpha,medium,41.48,1.89,165,1
864,alpha,low,57.38,9.17,82,1
865,alpha,high,64.92,81.02,27,1
866,beta,low,47.29,79.53,9,0
867,alpha,low,47.05,65.1,410,0
868,alpha,high,44.06,16.45,454,0
869,alpha,medium,57.97,61.3,452,1
870,beta,high,38.04,44.27,293,1
871,alpha,high,44.56,25.09,494,1
872,beta,high,55.77,42.93,364,0
873,beta,low,44.03,16.92,95,0
874,alpha,medium,73.54,96.72,140,1
875,alpha,low,52.53,41.32,276,0
876,alpha,low,43.49,35.45,485,1
877,beta,high,52.87,67.2,5,0
878,beta,high,54.83,26.93,356,1
879,alpha,low,49.14,46.67,359,0
880,beta,high,39.73,59.81,70,0
881,beta,low,36.12,8.96,154,0
882,beta,low,41.01,90.19,377,1
883,alpha,low,76.34,86.25,401,1
884,beta,low,56.88,59.8,145,1
885,beta,high,42.43,70.49,388,1
886,beta,high,55.36,22.84,259,1
887,alpha,high,48.59,11.04,411,1
888,beta,high,42.71,76.5,164,0
889,alpha,high,33.71,56.36,471,0
890,beta,low,47.06,8.18,129,1
891,beta,high,45.83,3.46,196,1
892,beta,high,21.04,23.04,158,0
893,beta,medium,73.29,39.74,433,1
894,beta,high,14.57,36.93,208,0
895,alpha,medium,53.96,99.08,287,1
896,beta,high,39.37,36.63,37,1
897,alpha,medium,50.78,33.8,51,1
898,alpha,low,57.03,52.2,69,1
899,alpha,medium,48.16,53.74,7,1
900,beta,medium,27.03,77.41,404,1
901,beta,high,40.62,91.61,403,0
902,beta,high,34.69,24.16,314,0
903,alpha,low,57.67,0.36,334,1
904,alpha,low,46.05,58.11,336,1
905,alpha,low,53.08,52.04,115,0
906,alpha,high,55.01,62.28,426,1
907,beta,medium,55.83,5.29,497,0
908,beta,medium,55.49,75.59,100,0
909,alpha,medium,57.35,75.17,128,0
910,alpha,medium,34.06,9.18,415,0
911,alpha,medium,40.73,67.33,76,1
912,beta,medium,48.59,61.26,202,0
913,alpha,high,58.07,64.92,212,1
914,beta,medium,38.57,0.39,216,0
915,beta,medium,43.49,42.55,95,0
916,beta,medium,29.04,22.13,81,1
917,alpha,high,38.64,10.71,334,1
918,beta,low,47.59,32.0,76,0
919,alpha,high,45.59,31.35,398,0
920,alpha,high,17.85,49.5,278,1
921,beta,low,39.04,80.8,186,0
922,beta,low,34.23,75.7,338,0
923,beta,high,21.97,14.41,17,0
924,beta,medium,62.85,25.71,447,1
925,alpha,high,58.49,5.42,235,1
926,alpha,high,55.19,4.76,226,0
927,beta,high,56.23,7.65,209,0
928,beta,low,44.5,95.36,471,1
929,alpha,medium,48.61,22.71,402,0
930,alpha,medium,47.92,31.77,471,1
931,beta,high,64.14,23.52,65,1
932,alpha,medium,79.38,12.86,24,1
933,beta,low,54.17,11.23,455,1
934,beta,high,36.03,68.33,347,0
935,alpha,medium,50.75,48.38,259,0
936,alpha,low,65.62,44.03,25,0
937,alpha,medium,11.59,13.74,425,0
938,beta,medium,75.63,38.19,395,0
939,beta,medium,43.97,59.02,143,0
940,beta,medium,52.95,38.67,447,0
941,alpha,high,52.58,32.3,112,1
942,beta,low,75.82,24.4,375,1
943,alpha,medium,56.88,19.56,453,0
944,alpha,medium,43.76,3.19,19,1
945,alpha,low,48.8,82.88,95,1
946,alpha,medium,40.57,99.47,278,0
947,alpha,low,39.85,89.75,334,0
948,alpha,medium,48.52,0.12,145,0
949,alpha,high,24.2,59.66,324,0
950,alpha,medium,39.8,38.73,196,1
951,beta,low,55.44,7.74,460,1
952,beta,high,54.53,98.31,415,1
953,alpha,medium,35.88,25.99,497,1
954,alpha,high,39.85,93.81,497,1
955,beta,low,42.01,91.64,119,0
956,beta,low,43.72,4.84,375,0
957,alpha,medium,59.53,31.21,116,1
958,alpha,medium,51.03,31.75,318,1
959,beta,medium,42.0,36.06,461,1
960,beta,medium,27.93,65.38,346,0
961,beta,low,64.16,44.8,49,1
962,alpha,low,52.67,99.05,318,1
963,beta,low,47.46,82.28,348,0
964,beta,high,25.24,63.99,119,0
965,beta,low,54.33,73.79,113,1
966,beta,medium,48.03,94.47,149,1
967,beta,high,61.9,81.7,412,0
968,alpha,low,52.16,50.9,1,1
969,beta,medium,44.79,97.32,483,0
970,beta,high,40.66,34.78,68,1
971,beta,medium,65.91,16.53,23,1
972,alpha,medium,13.22,13.76,5,0
973,beta,low,15.69,54.66,138,0
974,beta,medium,75.74,32.66,412,0
975,beta,medium,63.72,72.11,183,1
976,beta,low,56.79,2.84,244,1
977,beta,medium,34.29,100.0,406,1
978,beta,low,71.47,61.53,314,0
979,beta,low,100.18,85.57,105,1
980,beta,high,49.93,53.96,270,1
981,alpha,high,50.99,79.61,179,1
982,alpha,medium,50.14,65.26,107,0
983,beta,low,43.79,55.21,74,0
984,beta,high,58.13,77.46,289,1
985,beta,medium,23.64,30.56,161,0
986,alpha,high,45.54,65.45,204,1
987,beta,low,50.55,47.94,463,1
988,beta,high,27.0,30.08,48,0
989,alpha,high,42.42,32.9,413,1
990,beta,high,46.95,36.68,430,1
991,alpha,high,34.78,49.77,407,1
992,beta,low,11.71,29.89,258,0
993,beta,low,21.16,2.67,376,1
994,alpha,low,81.56,99.52,214,1
995,alpha,low,41.61,58.2,274,1
996,alpha,high,102.89,47.6,101,0
997,alpha,medium,29.76,64.99,119,0
998,beta,high,33.44,94.83,85,1
999,alpha,medium,23.26,96.67,373,1
1000,alpha,high,37.09,30.15,359,1
1001,beta,medium,17.3,74.07,17,0
1002,beta,high,55.51,12.07,379,1
1003,beta,medium,50.66,4.28,163,0
1004,alpha,high,65.56,95.75,28,1
1005,alpha,low,53.62,54.11,35,1
1006,beta,low,42.51,64.17,106,1
1007,beta,low,45.74,82.54,354,1
1008,beta,medium,69.38,24.88,406,0
1009,alpha,medium,17.56,25.51,331,1
1010,alpha,medium,53.28,88.0,117,1
1011,beta,medium,60.38,22.08,331,0
1012,beta,high,48.07,54.18,362,1
1013,beta,medium,69.65,77.38,330,1
1014,alpha,medium,55.55,2.96,426,1
1015,beta,low,51.36,2.74,270,0
1016,alpha,medium,13.58,58.51,267,1
1017,beta,medium,54.23,58.3,274,1
1018,alpha,high,69.23,45.48,499,1
1019,beta,low,46.42,85.03,179,0
1020,beta,low,43.39,50.61,289,0
1021,alpha,medium,75.15,27.8,305,0
1022,alpha,medium,32.27,20.98,143,1
1023,beta,medium,32.82,17.1,293,0
1024,beta,medium,48.59,31.51,305,1
1025,alpha,medium,42.86,68.0,299,0
1026,alpha,medium,64.48,97.4,194,1
1027,alpha,high,66.16,8.08,386,1
1028,beta,low,66.35,56.36,100,0
1029,alpha,medium,46.96,91.81,357,1
1030,alpha,medium,57.47,54.12,257,0
1031,alpha,low,53.14,79.97,167,0
1032,beta,high,25.15,27.48,262,0
1033,alpha,high,49.03,39.97,282,1
1034,beta,high,25.6,10.71,70,0
1035,alpha,high,53.53,68.43,87,1
1036,beta,high,40.56,0.67,256,1
1037,beta,high,34.11,52.05,378,0
1038,beta,medium,45.05,19.85,28,0
1039,alpha,high,47.13,4.66,229,1
1040,alpha,medium,24.98,80.53,404,1
1041,beta,high,46.88,63.53,59,0
1042,alpha,low,33.92,9.81,49,1
1043,beta,low,72.56,32.21,424,1
1044,alpha,high,65.14,1.92,278,0
1045,beta,high,51.39,37.86,324,0
1046,alpha,high,33.86,3.67,267,0
1047,beta,low,71.2,25.3,67,1
1048,alpha,low,30.09,16.25,34,1
1049,alpha,medium,50.53,38.68,312,0
1050,beta,low,46.88,54.73,9,0
1051,beta,high,38.66,13.47,481,0
1052,alpha,medium,44.16,50.09,299,1
1053,alpha,high,92.04,8.04,419,0
1054,alpha,low,47.45,55.86,429,0
1055,beta,high,70.6,29.48,364,0
1056,beta,low,33.54,0.7,84,1
1057,alpha,low,31.14,90.32,97,0
1058,alpha,low,22.28,29.75,127,1
1059,alpha,low,60.33,72.19,198,0
1060,alpha,medium,45.0,35.85,447,1
1061,alpha,low,56.2,53.1,65,1
1062,beta,medium,55.7,42.02,450,1
1063,alpha,high,44.45,6.74,400,0
1064,beta,medium,48.59,11.71,327,0
1065,alpha,high,53.17,33.59,164,0
1066,alpha,high,36.94,1.15,82,0
1067,beta,medium,55.26,68.25,392,0
1068,alpha,high,47.57,26.91,66,0
1069,alpha,high,29.82,18.92,2,0
1070,beta,medium,39.57,46.82,325,1
1071,beta,high,60.53,93.46,3,1
1072,alpha,medium,42.93,12.02,66,0
1073,alpha,low,46.31,44.11,475,1
1074,beta,high,39.8,43.76,188,0
1075,beta,low,30.88,66.26,212,0
1076,beta,low,75.48,22.29,183,1
1077,beta,high,27.72,36.52,495,0
1078,beta,high,70.21,77.3,423,0
1079,alpha,medium,49.08,92.98,287,1
1080,alpha,medium,31.95,29.07,262,0
1081,beta,high,51.05,84.03,434,1
1082,alpha,low,47.69,40.65,400,0
1083,alpha,low,56.69,71.91,480,1
1084,alpha,high,57.96,80.11,444,0
1085,alpha,high,56.23,73.04,237,1
1086,beta,low,34.36,5.93,336,0
1087,beta,medium,27.47,33.06,249,0
1088,beta,high,25.86,13.59,44,0
1089,beta,medium,58.25,9.41,49,0
1090,beta,high,62.13,84.55,221,0
1091,beta,medium,44.12,52.55,163,1
1092,beta,high,38.76,45.16,263,1
1093,alpha,low,70.59,66.57,136,1
1094,beta,medium,34.28,57.7,141,0
1095,alpha,medium,6.14,55.11,299,0
1096,alpha,medium,53.55,24.89,491,0
1097,beta,high,51.67,29.69,304,1
1098,beta,medium,52.18,50.46,142,1
1099,beta,high,23.43,17.4,45,0
1100,beta,high,56.71,60.35,82,0
1101,beta,medium,53.56,55.8,299,1
1102,beta,high,42.43,31.25,342,1
1103,beta,high,48.01,17.8,308,1
1104,alpha,low,62.39,99.33,186,1
1105,beta,high,68.39,81.05,145,0
1106,alpha,medium,68.85,37.7,192,1
1107,beta,low,64.18,48.04,261,0
1108,alpha,low,35.04,7.07,420,1
1109,alpha,high,63.49,2.72,179,0
1110,beta,medium,39.29,37.23,365,0
1111,alpha,high,49.99,18.83,48,1
1112,beta,low,43.53,22.3,390,1
1113,alpha,high,54.16,80.73,209,1
1114,alpha,medium,31.25,33.92,213,1
1115,alpha,low,32.66,40.7,289,0
1116,alpha,medium,34.57,49.43,364,1
1117,beta,low,57.32,2.0,454,1
1118,alpha,low,75.53,73.97,491,1
1119,beta,high,34.77,87.01,3,0
1120,beta,high,21.48,83.95,353,0
1121,alpha,medium,68.32,63.45,265,1
1122,beta,low,61.66,87.89,345,0
1123,beta,high,50.31,24.13,107,0
1124,alpha,high,55.43,14.45,78,1
1125,beta,high,49.85,43.08,498,1
1126,alpha,low,52.07,95.52,104,0
1127,beta,high,38.35,7.67,164,0
1128,beta,high,47.23,88.37,23,0
1129,alpha,high,31.69,61.74,120,1
1130,beta,high,41.57,52.57,141,0
1131,alpha,low,72.52,91.88,29,1
1132,beta,low,55.9,30.92,452,1
1133,alpha,high,65.6,95.39,311,1
1134,beta,medium,50.62,61.9,293,1
1135,beta,low,75.0,33.52,152,1
1136,beta,high,73.19,82.74,431,0
1137,alpha,high,47.46,89.63,336,1
1138,beta,medium,48.42,29.38,317,1
1139,beta,low,51.27,46.58,346,1
1140,beta,low,57.41,83.15,300,0
1141,beta,medium,67.84,46.07,495,1
1142,beta,low,73.93,85.78,221,1
1143,alpha,high,45.87,80.78,317,1
1144,beta,low,63.82,92.7,89,0
1145,alpha,medium,27.14,49.66,326,1
1146,beta,low,36.65,79.83,364,0
1147,alpha,medium,43.89,85.94,138,1
1148,beta,low,31.65,58.85,371,0
1149,alpha,medium,33.89,98.14,266,0
1150,alpha,low,67.03,75.71,441,1
1151,beta,high,65.14,78.66,42,1
1152,alpha,high,47.8,8.88,78,1
1153,beta,low,56.09,96.68,224,1
1154,alpha,medium,55.07,40.66,8,1
1155,beta,medium,39.85,90.55,375,0
1156,alpha,low,62.44,18.16,307,1
1157,beta,medium,33.9,4.48,266,1
1158,alpha,medium,55.26,66.37,35,1
1159,beta,high,68.71,22.94,153,0
1160,beta,low,20.96,72.53,282,0
1161,beta,low,38.31,84.89,410,0
1162,beta,low,52.81,56.33,399,1
1163,alpha,low,55.86,91.36,27,0
1164,alpha,medium,36.03,94.15,168,0
1165,beta,high,55.93,72.29,293,1
1166,alpha,low,45.07,98.3,132,0
1167,alpha,low,40.12,93.7,467,1
1168,beta,high,63.9,37.35,243,1
1169,alpha,medium,28.71,9.49,481,0
1170,beta,medium,67.15,71.04,226,0
1171,alpha,high,52.32,87.62,185,1
1172,beta,medium,70.32,34.53,142,1
1173,beta,medium,49.74,50.81,137,0
1174,beta,low,48.36,62.31,426,1
1175,alpha,low,70.14,67.96,454,0
1176,beta,high,34.81,54.99,167,0
1177,alpha,medium,34.18,38.96,441,1
1178,beta,medium,35.73,77.13,352,1
1179,alpha,high,43.21,40.28,391,1
1180,beta,medium,36.08,58.06,166,1
1181,beta,medium,57.23,17.55,151,1
1182,alpha,low,49.6,91.9,157,1
1183,beta,medium,36.09,62.1,131,0
1184,beta,medium,30.23,15.16,337,0
1185,alpha,low,39.62,28.37,374,0
1186,alpha,low,29.7,47.24,275,0
1187,alpha,high,55.14,3.44,143,1
1188,alpha,high,66.51,65.9,492,1
1189,alpha,medium,42.31,40.41,300,1
1190,alpha,low,54.72,30.33,464,1
1191,beta,low,67.29,3.28,287,1
1192,alpha,high,35.6,65.17,356,0
1193,beta,low,68.07,22.76,346,0
1194,beta,low,50.06,49.86,168,1
1195,alpha,low,45.09,22.24,284,0
1196,alpha,low,46.14,69.51,239,1
1197,beta,low,63.66,9.23,168,1
1198,alpha,high,78.19,37.15,436,1
1199,alpha,high,68.43,27.02,439,1
1200,alpha,low,49.54,24.45,160,0
1201,beta,high,49.03,73.81,103,0
1202,alpha,low,73.32,1.52,103,0
1203,beta,medium,43.75,25.65,473,1
1204,beta,low,38.09,10.79,309,0
1205,alpha,medium,64.46,11.69,21,1
1206,beta,medium,50.41,28.37,270,1
1207,alpha,low,78.98,46.06,319,1
1208,alpha,low,51.9,23.38,337,1
1209,beta,medium,46.88,21.59,426,1
1210,beta,high,55.61,43.08,37,0
1211,alpha,medium,89.32,2.75,360,1
1212,alpha,high,53.69,62.79,109,1
1213,alpha,low,36.78,35.45,233,1
1214,alpha,high,43.88,74.57,86,0
1215,beta,low,46.82,0.47,321,0
1216,beta,low,36.56,17.8,36,1
1217,alpha,medium,36.99,8.97,450,0
1218,alpha,medium,24.35,2.55,147,1
1219,beta,high,27.16,10.02,199,0
1220,alpha,medium,43.97,49.07,39,1
1221,alpha,high,25.95,98.96,423,0
1222,alpha,low,12.78,14.16,79,0
1223,beta,high,36.75,44.02,180,1
1224,alpha,high,18.84,62.56,375,0
1225,beta,low,52.22,58.4,186,1
1226,alpha,high,37.94,71.65,99,1
1227,beta,low,57.8,39.61,231,1
1228,alpha,high,61.71,73.04,38,1
1229,alpha,low,41.53,56.73,60,1
1230,alpha,high,54.72,97.28,229,1
1231,beta,medium,38.21,60.12,403,1
1232,alpha,medium,41.38,17.99,159,0
1233,beta,low,30.79,22.24,483,1
1234,alpha,high,60.35,66.21,112,1
1235,beta,medium,34.86,18.02,28,1
1236,beta,high,45.98,81.04,475,0
1237,beta,high,69.23,49.59,443,1
1238,alpha,low,54.18,52.68,453,0
1239,alpha,medium,40.2,90.84,272,1
1240,alpha,low,57.2,95.8,398,1
1241,alpha,high,15.06,71.93,144,0
1242,beta,high,52.99,70.79,499,1
1243,alpha,low,65.1,25.8,100,1
1244,beta,low,20.43,75.24,416,0
1245,alpha,medium,54.94,19.67,453,1
1246,beta,low,49.3,65.99,490,1
1247,alpha,high,53.56,77.54,340,1
1248,alpha,high,64.57,83.31,154,0
1249,alpha,low,61.57,0.03,174,1
1250,beta,low,35.2,68.22,22,0
1251,beta,medium,54.22,11.32,318,1
1252,beta,high,36.75,47.0,492,1
1253,beta,low,39.29,7.01,70,0
1254,alpha,medium,46.17,24.09,473,0
1255,alpha,low,53.2,69.99,497,1
1256,beta,medium,72.31,75.62,338,0
1257,beta,high,53.8,54.26,398,1
1258,alpha,high,54.52,20.67,52,0
1259,beta,low,45.45,2.99,26,0
1260,beta,medium,60.6,56.64,387,1
1261,beta,high,30.56,24.78,90,1
1262,beta,medium,42.03,35.51,365,0
1263,beta,high,84.84,45.32,249,0
1264,beta,medium,37.52,40.72,68,0
1265,alpha,low,43.73,15.43,330,1
1266,alpha,medium,46.94,33.71,81,1
1267,beta,low,73.61,76.76,477,1
1268,alpha,low,61.73,5.33,307,1
1269,beta,low,62.6,13.43,267,0
1270,alpha,high,55.52,39.33,386,0
1271,beta,low,26.25,2.31,173,0
1272,beta,low,36.04,98.64,297,1
1273,alpha,high,56.2,73.67,421,1
1274,beta,high,39.05,5.2,195,1
1275,beta,medium,57.74,26.37,407,0
1276,beta,low,40.89,9.11,107,1
1277,beta,low,42.94,74.87,138,0
1278,alpha,low,50.36,93.55,272,1
1279,alpha,low,80.16,17.5,498,0
1280,beta,medium,59.36,27.91,361,1
1281,beta,high,31.81,87.07,426,1
1282,alpha,high,41.49,84.74,284,1
1283,alpha,low,47.65,38.33,311,1
1284,alpha,medium,55.31,8.23,289,1
1285,alpha,low,46.72,24.49,52,1
1286,alpha,high,34.32,66.45,217,0
1287,alpha,medium,42.77,82.04,50,1
1288,alpha,low,48.31,18.12,364,0
1289,alpha,medium,48.83,93.7,145,1
1290,alpha,high,61.97,22.6,135,1
1291,alpha,low,39.21,5.17,432,1
1292,alpha,low,38.76,75.6,54,1
1293,beta,medium,-1.43,98.14,479,0
1294,alpha,high,61.97,8.73,253,0
1295,beta,medium,51.85,50.1,285,1
1296,beta,high,48.23,31.7,18,1
1297,alpha,high,65.01,41.91,451,0
1298,beta,low,24.39,51.39,16,1
1299,beta,high,41.7,2.53,468,1
1300,beta,high,57.53,51.44,375,0
1301,beta,high,76.14,52.98,146,1
1302,beta,low,54.09,79.81,243,1
1303,alpha,medium,49.09,65.51,230,1
1304,beta,high,50.25,74.4,210,1
1305,alpha,medium,36.42,17.93,267,1
1306,beta,high,60.42,12.14,56,1
1307,alpha,medium,74.59,84.35,355,1
1308,alpha,low,56.49,29.5,301,1
1309,alpha,low,60.9,21.7,451,0
1310,alpha,medium,60.13,53.57,203,1
1311,beta,medium,66.0,42.43,273,1
1312,alpha,low,58.52,92.74,333,0
1313,beta,medium,59.6,8.2,460,0
1314,alpha,high,55.83,85.12,357,0
1315,alpha,high,61.8,21.56,456,1
1316,alpha,low,55.91,16.87,22,1
1317,alpha,low,63.96,49.11,135,1
1318,beta,medium,50.97,34.07,177,1
1319,alpha,medium,60.93,20.31,214,1
1320,beta,medium,42.64,71.33,362,0
1321,beta,high,34.84,21.59,92,1
1322,alpha,low,52.47,15.97,120,1
1323,beta,low,33.46,9.74,112,0
1324,beta,high,44.02,23.44,496,0
1325,beta,medium,53.22,2.61,106,1
1326,alpha,low,60.49,58.71,245,1
1327,alpha,medium,29.44,53.73,143,0
1328,alpha,low,33.35,94.32,199,0
1329,alpha,medium,49.52,62.06,473,0
1330,beta,low,33.27,67.35,409,0
1331,alpha,high,33.62,54.11,465,0
1332,beta,medium,49.81,43.38,234,0
1333,alpha,low,65.64,48.1,305,0
1334,beta,medium,45.19,84.45,448,0
1335,alpha,medium,49.38,41.18,68,1
1336,beta,medium,41.59,38.22,414,0
1337,alpha,high,42.09,51.91,438,1
1338,beta,low,43.09,87.09,26,0
1339,alpha,medium,37.31,52.39,356,0
1340,alpha,high,49.12,71.18,363,1
1341,beta,high,38.18,82.58,438,1
